"ape" "rmse" "size" "error" "method"
"1" 2.63537420591775 0.40552398016117 50 0.5 "FPCAR"
"2" 3.13898346155203 0.456495936655875 50 0.5 "FPCAR"
"3" 2.63197747048917 0.391149067762883 50 0.5 "FPCAR"
"4" 2.1398754256735 0.313969589766377 50 0.5 "FPCAR"
"5" 2.36615110291173 0.340424211079201 50 0.5 "FPCAR"
"6" 2.43300433007463 0.349071932155613 50 0.5 "FPCAR"
"7" 2.41841868182308 0.356551458317534 50 0.5 "FPCAR"
"8" 2.40450013214274 0.338369735429877 50 0.5 "FPCAR"
"9" 3.0632990781455 0.431103383171145 50 0.5 "FPCAR"
"10" 1.71577013735074 0.263862881129469 50 0.5 "FPCAR"
"11" 2.35546607478009 0.356751225064217 50 0.5 "FPCAR"
"12" 2.27926480646664 0.335670714547638 50 0.5 "FPCAR"
"13" 2.18497204300367 0.322407916120041 50 0.5 "FPCAR"
"14" 2.2669230375913 0.335985877836333 50 0.5 "FPCAR"
"15" 2.45561103939886 0.347376451320052 50 0.5 "FPCAR"
"16" 2.95222898527884 0.430272387913639 50 0.5 "FPCAR"
"17" 1.98265056280594 0.301478657370187 50 0.5 "FPCAR"
"18" 2.56387869459828 0.319474034768178 50 0.5 "FPCAR"
"19" 1.95176874234033 0.28817162256286 50 0.5 "FPCAR"
"20" 2.2444169461042 0.337112057531989 50 0.5 "FPCAR"
"21" 2.67711453706567 0.373751313292495 50 0.5 "FPCAR"
"22" 2.7384770331592 0.378912684651001 50 0.5 "FPCAR"
"23" 1.93959522046605 0.274299850776569 50 0.5 "FPCAR"
"24" 2.47521348768492 0.356088790368292 50 0.5 "FPCAR"
"25" 2.7157271110317 0.378339772057595 50 0.5 "FPCAR"
"26" 2.86854545814002 0.423795148842732 50 0.5 "FPCAR"
"27" 1.87373713088524 0.264118401764072 50 0.5 "FPCAR"
"28" 2.33669323605142 0.340143097050605 50 0.5 "FPCAR"
"29" 2.71339327487568 0.389243992769173 50 0.5 "FPCAR"
"30" 2.23025862016278 0.341987859811608 50 0.5 "FPCAR"
"31" 2.74064489501394 0.362464410054307 50 0.5 "FPCAR"
"32" 2.88258923789032 0.434338271740306 50 0.5 "FPCAR"
"33" 2.29699766498795 0.328070310349549 50 0.5 "FPCAR"
"34" 2.11588960736862 0.306591956109035 50 0.5 "FPCAR"
"35" 2.75143066272704 0.379980973289174 50 0.5 "FPCAR"
"36" 2.51562631769573 0.362932420800661 50 0.5 "FPCAR"
"37" 3.0133647030964 0.43364630850277 50 0.5 "FPCAR"
"38" 2.5319517752815 0.346929274868407 50 0.5 "FPCAR"
"39" 2.49272328787344 0.346437920100819 50 0.5 "FPCAR"
"40" 2.60469017576033 0.359500344269904 50 0.5 "FPCAR"
"41" 2.90866139936388 0.399806945352839 50 0.5 "FPCAR"
"42" 1.83061967552686 0.267574006739382 50 0.5 "FPCAR"
"43" 2.41068378000314 0.349588455536953 50 0.5 "FPCAR"
"44" 2.55649700360063 0.35711447617035 50 0.5 "FPCAR"
"45" 1.63195686834579 0.248628468276417 50 0.5 "FPCAR"
"46" 1.58936640488972 0.243266274888881 50 0.5 "FPCAR"
"47" 3.19345959782748 0.461164148193686 50 0.5 "FPCAR"
"48" 2.29710342090891 0.3513908175958 50 0.5 "FPCAR"
"49" 2.39772413657536 0.338602030522328 50 0.5 "FPCAR"
"50" 1.81576725420352 0.265515328834606 50 0.5 "FPCAR"
"51" 2.52412292340353 0.34196248706143 50 0.5 "FPCAR"
"52" 1.95630215065128 0.272977642648872 50 0.5 "FPCAR"
"53" 2.57403325195085 0.375485936736835 50 0.5 "FPCAR"
"54" 1.97310559961384 0.276116694389293 50 0.5 "FPCAR"
"55" 2.39063632256522 0.337926668536716 50 0.5 "FPCAR"
"56" 1.97062476503384 0.28495311603442 50 0.5 "FPCAR"
"57" 2.37714690551612 0.352308235431846 50 0.5 "FPCAR"
"58" 2.26090515358695 0.318235823080992 50 0.5 "FPCAR"
"59" 3.71072353148445 0.51241733621407 50 0.5 "FPCAR"
"60" 2.65802003096363 0.367975496236249 50 0.5 "FPCAR"
"61" 3.18943218172303 0.444780080523413 50 0.5 "FPCAR"
