"ape" "rmse" "size" "error" "method"
"1" 2.63861898483699 0.405784487588676 50 0.5 "FPCAR*"
"2" 3.14425306522885 0.457701530958778 50 0.5 "FPCAR*"
"3" 2.62278565223366 0.390949379767636 50 0.5 "FPCAR*"
"4" 2.13991729767329 0.315669416008614 50 0.5 "FPCAR*"
"5" 2.36722205028609 0.340592018850584 50 0.5 "FPCAR*"
"6" 2.43517295179103 0.349227685437315 50 0.5 "FPCAR*"
"7" 2.42850376444722 0.35869573950968 50 0.5 "FPCAR*"
"8" 2.40343189732188 0.33810886383078 50 0.5 "FPCAR*"
"9" 3.06428983036459 0.4311357663106 50 0.5 "FPCAR*"
"10" 1.71900638349003 0.264376023506122 50 0.5 "FPCAR*"
"11" 2.35609167374133 0.356648822401618 50 0.5 "FPCAR*"
"12" 2.28170196481 0.335640481055065 50 0.5 "FPCAR*"
"13" 2.18741573439866 0.323464698769618 50 0.5 "FPCAR*"
"14" 2.27082536790955 0.336558940195972 50 0.5 "FPCAR*"
"15" 2.45387158665124 0.34783894190983 50 0.5 "FPCAR*"
"16" 2.94865108581544 0.430213722229893 50 0.5 "FPCAR*"
"17" 1.9871816988304 0.301890481125758 50 0.5 "FPCAR*"
"18" 2.55528366388779 0.319438377717531 50 0.5 "FPCAR*"
"19" 1.95547922297455 0.289166631929581 50 0.5 "FPCAR*"
"20" 2.24827373063658 0.337867726828319 50 0.5 "FPCAR*"
"21" 2.67986784722494 0.374204275987729 50 0.5 "FPCAR*"
"22" 2.73434230119395 0.378697364991326 50 0.5 "FPCAR*"
"23" 1.93999461273232 0.274403039583974 50 0.5 "FPCAR*"
"24" 2.47965013204347 0.356391799804991 50 0.5 "FPCAR*"
"25" 2.70886563885919 0.378790249889527 50 0.5 "FPCAR*"
"26" 2.86713822880991 0.423926917188058 50 0.5 "FPCAR*"
"27" 1.87119583136389 0.264737680372445 50 0.5 "FPCAR*"
"28" 2.33363046805033 0.340316835957198 50 0.5 "FPCAR*"
"29" 2.70601697489978 0.38843706963797 50 0.5 "FPCAR*"
"30" 2.22732205356672 0.34253848702522 50 0.5 "FPCAR*"
"31" 2.75204468724167 0.364274060102998 50 0.5 "FPCAR*"
"32" 2.8596698096815 0.433941540905195 50 0.5 "FPCAR*"
"33" 2.29994738159409 0.328571493627446 50 0.5 "FPCAR*"
"34" 2.13246240656821 0.311334033129678 50 0.5 "FPCAR*"
"35" 2.74495853732324 0.380194553126882 50 0.5 "FPCAR*"
"36" 2.51648713377728 0.362975194295438 50 0.5 "FPCAR*"
"37" 3.02084010785602 0.43629264834983 50 0.5 "FPCAR*"
"38" 2.52809093520877 0.346873149970363 50 0.5 "FPCAR*"
"39" 2.49046018910578 0.346153257425943 50 0.5 "FPCAR*"
"40" 2.60485075274374 0.359918793515235 50 0.5 "FPCAR*"
"41" 2.90227904834506 0.400631613886957 50 0.5 "FPCAR*"
"42" 1.85014447916537 0.270333449257172 50 0.5 "FPCAR*"
"43" 2.4095385159777 0.349016741760592 50 0.5 "FPCAR*"
"44" 2.5794991538632 0.363779788041242 50 0.5 "FPCAR*"
"45" 1.63363499469472 0.249394445342003 50 0.5 "FPCAR*"
"46" 1.60246953387722 0.243396119902982 50 0.5 "FPCAR*"
"47" 3.19946331841473 0.461503092635276 50 0.5 "FPCAR*"
"48" 2.29929955378685 0.351671077117619 50 0.5 "FPCAR*"
"49" 2.40922160182749 0.339674521269338 50 0.5 "FPCAR*"
"50" 1.8182126720359 0.267242982032784 50 0.5 "FPCAR*"
"51" 2.54621904490669 0.343703983402661 50 0.5 "FPCAR*"
"52" 1.95919753985807 0.273214118618419 50 0.5 "FPCAR*"
"53" 2.56895726288111 0.375230762748202 50 0.5 "FPCAR*"
"54" 1.9826286840761 0.277455968577048 50 0.5 "FPCAR*"
"55" 2.38298412457672 0.336372780907809 50 0.5 "FPCAR*"
"56" 1.97996065923207 0.286166139060181 50 0.5 "FPCAR*"
"57" 2.39153358138095 0.356077060531528 50 0.5 "FPCAR*"
"58" 2.27094688202316 0.320019004626766 50 0.5 "FPCAR*"
"59" 3.71535441948191 0.513442604345245 50 0.5 "FPCAR*"
"60" 2.65632870258335 0.367857116802811 50 0.5 "FPCAR*"
"61" 3.19563746131538 0.445418677315518 50 0.5 "FPCAR*"
"62" 2.27434007673127 0.318932762705887 50 0.5 "FPCAR*"
"63" 1.87228499259518 0.279537587560742 50 0.5 "FPCAR*"
"64" 2.21300190231257 0.31223810196985 50 0.5 "FPCAR*"
"65" 2.74525772431802 0.426038618004647 50 0.5 "FPCAR*"
"66" 2.04443624487205 0.281192816588719 50 0.5 "FPCAR*"
"67" 2.53774908852937 0.363224086669479 50 0.5 "FPCAR*"
"68" 2.5124769955932 0.362749799795554 50 0.5 "FPCAR*"
"69" 2.19551445368274 0.321482138641209 50 0.5 "FPCAR*"
"70" 2.09876931943103 0.314252816391742 50 0.5 "FPCAR*"
"71" 2.55137025293264 0.353790696586876 50 0.5 "FPCAR*"
"72" 2.51802453925906 0.369814180543656 50 0.5 "FPCAR*"
"73" 1.94530625813786 0.29377673487767 50 0.5 "FPCAR*"
"74" 1.84161501337825 0.274202984014325 50 0.5 "FPCAR*"
"75" 2.49959757676347 0.37283686331067 50 0.5 "FPCAR*"
"76" 2.97874441874191 0.411794424965421 50 0.5 "FPCAR*"
"77" 2.20391774785766 0.311756133990812 50 0.5 "FPCAR*"
"78" 1.50434493373074 0.221002278741302 50 0.5 "FPCAR*"
"79" 2.35702660636384 0.338530226556637 50 0.5 "FPCAR*"
"80" 3.16137414528297 0.423117303092477 50 0.5 "FPCAR*"
"81" 3.10499750161529 0.425934131770772 50 0.5 "FPCAR*"
"82" 1.84400489225614 0.262461120227316 50 0.5 "FPCAR*"
"83" 2.36107183379533 0.336311223877782 50 0.5 "FPCAR*"
"84" 1.64118973985763 0.252637470447648 50 0.5 "FPCAR*"
"85" 2.47829884060955 0.362531627564699 50 0.5 "FPCAR*"
"86" 1.90186312268919 0.294344393169872 50 0.5 "FPCAR*"
"87" 3.15103641207553 0.431001451372075 50 0.5 "FPCAR*"
"88" 2.74731862829584 0.39023995479819 50 0.5 "FPCAR*"
"89" 2.0091624698882 0.276947191714112 50 0.5 "FPCAR*"
"90" 1.55197892632865 0.235274027725144 50 0.5 "FPCAR*"
"91" 2.12893004952977 0.313690185821999 50 0.5 "FPCAR*"
"92" 1.64382596236346 0.246017872907988 50 0.5 "FPCAR*"
"93" 2.67809499348165 0.376985474098338 50 0.5 "FPCAR*"
"94" 2.48879519103065 0.339816957336346 50 0.5 "FPCAR*"
"95" 1.95142193834776 0.273735290898852 50 0.5 "FPCAR*"
"96" 2.7648033266108 0.412926190907305 50 0.5 "FPCAR*"
"97" 2.75319102280093 0.374451536178782 50 0.5 "FPCAR*"
"98" 2.1165667046242 0.31133694319326 50 0.5 "FPCAR*"
"99" 2.29975473934462 0.348541164608002 50 0.5 "FPCAR*"
"100" 2.43325928260541 0.336439146118599 50 0.5 "FPCAR*"
"101" 3.09393870773525 0.469297517890311 50 1 "FPCAR*"
"102" 3.58860105954618 0.519592186897428 50 1 "FPCAR*"
"103" 2.75581146034306 0.413139903572148 50 1 "FPCAR*"
"104" 2.46176056715058 0.370300896513476 50 1 "FPCAR*"
"105" 3.03357929030429 0.441932574011977 50 1 "FPCAR*"
"106" 2.91643896299489 0.422932073843774 50 1 "FPCAR*"
"107" 3.14889087960797 0.473531201496542 50 1 "FPCAR*"
"108" 3.45652047146567 0.480292320242497 50 1 "FPCAR*"
"109" 3.62987536100589 0.499521731458147 50 1 "FPCAR*"
"110" 2.05034225335271 0.328389280991673 50 1 "FPCAR*"
"111" 3.07607123676908 0.463318559428202 50 1 "FPCAR*"
"112" 2.60937054230265 0.382830931696919 50 1 "FPCAR*"
"113" 2.51847742976544 0.388177455676771 50 1 "FPCAR*"
"114" 2.84218635977193 0.429966902800306 50 1 "FPCAR*"
"115" 3.11534992843123 0.453346599936752 50 1 "FPCAR*"
"116" 3.35609041275922 0.49376343352627 50 1 "FPCAR*"
"117" 2.8059347501387 0.43255181590439 50 1 "FPCAR*"
"118" 3.86276476062491 0.481954117812745 50 1 "FPCAR*"
"119" 2.58216929215338 0.374094263269525 50 1 "FPCAR*"
"120" 2.72372892307551 0.414088728069107 50 1 "FPCAR*"
"121" 3.22307118960814 0.446195585073117 50 1 "FPCAR*"
"122" 3.37316657620377 0.471863316665942 50 1 "FPCAR*"
"123" 2.5136681012731 0.357979309159766 50 1 "FPCAR*"
"124" 2.86818484180141 0.422450846336159 50 1 "FPCAR*"
"125" 3.24816657535361 0.455704461942704 50 1 "FPCAR*"
"126" 3.37489334694717 0.500776757390727 50 1 "FPCAR*"
"127" 2.36310943133481 0.340078323102247 50 1 "FPCAR*"
"128" 2.90501952349326 0.428828174790364 50 1 "FPCAR*"
"129" 3.25950756516887 0.48053232247767 50 1 "FPCAR*"
"130" 3.18389694239655 0.493799951663987 50 1 "FPCAR*"
"131" 3.55997880041309 0.469299031385561 50 1 "FPCAR*"
"132" 3.38913012086177 0.51838605990376 50 1 "FPCAR*"
"133" 2.8135128596279 0.400401620216033 50 1 "FPCAR*"
"134" 2.46167722665312 0.368126481536474 50 1 "FPCAR*"
"135" 3.22369484111404 0.449912769817399 50 1 "FPCAR*"
"136" 2.78169347056296 0.402200035248043 50 1 "FPCAR*"
"137" 3.54455243955965 0.518179397241808 50 1 "FPCAR*"
"138" 2.80447698071164 0.388519734742449 50 1 "FPCAR*"
"139" 3.03362463097469 0.42409055503372 50 1 "FPCAR*"
"140" 3.07623363591874 0.425618582152715 50 1 "FPCAR*"
"141" 3.78574425421189 0.511226390535719 50 1 "FPCAR*"
"142" 1.99363763579234 0.297555457048197 50 1 "FPCAR*"
"143" 2.97138126583002 0.426322768888833 50 1 "FPCAR*"
"144" 3.18864844094548 0.454228345612007 50 1 "FPCAR*"
"145" 2.14391554450242 0.324988461035269 50 1 "FPCAR*"
"146" 2.12600347198966 0.328019923661064 50 1 "FPCAR*"
"147" 3.6615017133341 0.533355455051711 50 1 "FPCAR*"
"148" 2.70912363830986 0.420974120440899 50 1 "FPCAR*"
"149" 2.73351578599525 0.395222544360551 50 1 "FPCAR*"
"150" 2.33213828584488 0.346467614958194 50 1 "FPCAR*"
"151" 2.89149983286216 0.3918309092762 50 1 "FPCAR*"
"152" 2.28290358105082 0.327846521951699 50 1 "FPCAR*"
"153" 3.13869195076796 0.45419748692908 50 1 "FPCAR*"
"154" 2.85310584378178 0.395279736355806 50 1 "FPCAR*"
"155" 3.34894454874462 0.469515750049015 50 1 "FPCAR*"
"156" 2.45933895721346 0.360150931059317 50 1 "FPCAR*"
"157" 2.93760447003375 0.433004582127155 50 1 "FPCAR*"
"158" 2.73347208278866 0.386406508902128 50 1 "FPCAR*"
"159" 4.13352285076178 0.562762301248016 50 1 "FPCAR*"
"160" 3.03846447003404 0.427741775191824 50 1 "FPCAR*"
"161" 3.75588435702299 0.533665931958291 50 1 "FPCAR*"
"162" 3.04383111338888 0.427537335901778 50 1 "FPCAR*"
"163" 2.6237611412514 0.389796393481988 50 1 "FPCAR*"
"164" 2.57952927485171 0.381161543552026 50 1 "FPCAR*"
"165" 2.94149710641649 0.458587321489491 50 1 "FPCAR*"
"166" 2.51925908850857 0.347097367977737 50 1 "FPCAR*"
"167" 3.07638982779223 0.44203330680031 50 1 "FPCAR*"
"168" 3.38993332546767 0.48238272671916 50 1 "FPCAR*"
"169" 2.51580899723207 0.364587198935423 50 1 "FPCAR*"
"170" 2.2850961452829 0.342091216737851 50 1 "FPCAR*"
"171" 3.22904677759086 0.444316749518686 50 1 "FPCAR*"
"172" 3.07132217205726 0.446059926272056 50 1 "FPCAR*"
"173" 2.64366001478592 0.413055047551963 50 1 "FPCAR*"
"174" 2.55013659661526 0.378167957847885 50 1 "FPCAR*"
"175" 3.22830131741513 0.486707333343914 50 1 "FPCAR*"
"176" 3.28632658825569 0.460701663319636 50 1 "FPCAR*"
"177" 2.7548151278061 0.39211238659326 50 1 "FPCAR*"
"178" 2.1430808093059 0.319090834245073 50 1 "FPCAR*"
"179" 2.76895846098377 0.403301808072579 50 1 "FPCAR*"
"180" 3.61110808578531 0.476357653825502 50 1 "FPCAR*"
"181" 3.65600834732622 0.496817550228846 50 1 "FPCAR*"
"182" 2.00429514092229 0.292680428883737 50 1 "FPCAR*"
"183" 2.82507944990487 0.409677973613784 50 1 "FPCAR*"
"184" 2.09035127507783 0.335064634711753 50 1 "FPCAR*"
"185" 3.03370473020304 0.446314647086297 50 1 "FPCAR*"
"186" 2.44782165846459 0.393914517744839 50 1 "FPCAR*"
"187" 3.58624981229571 0.497240154083376 50 1 "FPCAR*"
"188" 3.26079588977869 0.462162501136319 50 1 "FPCAR*"
"189" 2.30397104853053 0.320981744493818 50 1 "FPCAR*"
"190" 2.46117725817424 0.366660449452636 50 1 "FPCAR*"
"191" 2.61240179850416 0.386695020258734 50 1 "FPCAR*"
"192" 2.07228431592308 0.307258612357369 50 1 "FPCAR*"
"193" 2.95986395261076 0.430344976789593 50 1 "FPCAR*"
"194" 3.27105343219625 0.447519328603656 50 1 "FPCAR*"
"195" 2.9407362798895 0.405265074801733 50 1 "FPCAR*"
"196" 2.93828157193443 0.449799571902718 50 1 "FPCAR*"
"197" 3.33048570987364 0.452298398736419 50 1 "FPCAR*"
"198" 2.65984193334119 0.40375491309885 50 1 "FPCAR*"
"199" 2.55327868713964 0.396687515389305 50 1 "FPCAR*"
"200" 2.64337157641315 0.367656614169302 50 1 "FPCAR*"
"201" 3.74121016956219 0.564137192717126 50 1.5 "FPCAR*"
"202" 3.84353488945696 0.566383777570929 50 1.5 "FPCAR*"
"203" 2.98087987350735 0.446308895693166 50 1.5 "FPCAR*"
"204" 2.96180425296041 0.450223519812078 50 1.5 "FPCAR*"
"205" 3.75704544447957 0.545935632086358 50 1.5 "FPCAR*"
"206" 3.37418865145312 0.491910021354379 50 1.5 "FPCAR*"
"207" 4.05142692294672 0.611094515020637 50 1.5 "FPCAR*"
"208" 4.4232172376685 0.627225216139173 50 1.5 "FPCAR*"
"209" 4.10420390942519 0.558522231941406 50 1.5 "FPCAR*"
"210" 2.61520091437802 0.413625860342577 50 1.5 "FPCAR*"
"211" 3.61468272664994 0.557597692826675 50 1.5 "FPCAR*"
"212" 3.18761972865363 0.458353327833889 50 1.5 "FPCAR*"
"213" 3.14925821721788 0.488635290377329 50 1.5 "FPCAR*"
"214" 3.60552799692082 0.546582063991661 50 1.5 "FPCAR*"
"215" 3.88337182965208 0.574735455480299 50 1.5 "FPCAR*"
"216" 3.82754778500712 0.57122391043404 50 1.5 "FPCAR*"
"217" 4.19498866231444 0.648042553163321 50 1.5 "FPCAR*"
